#lambda/nm	DC	C1
421.546	1645.8	1679.8
421.953	1733.6	1722.8
422.361	1788.4	1784.2
422.769	1860.2	1871
423.177	1941.4	1937.2
423.585	2048.8	2040.8
423.992	2145	2128.2
424.379	2204.8	2202.6
424.787	2302.2	2328
425.195	2405.6	2405
425.603	2495.8	2532.2
426.011	2626.2	2635.6
426.419	2763.6	2745.8
426.806	2842.8	2888.6
427.214	2989.2	2993.8
427.623	3147.2	3144.6
428.031	3296.6	3296.4
428.44	3450.6	3468.8
428.848	3606	3616.2
429.235	3804.4	3790.6
429.644	3967	3986.6
430.053	4154.2	4147
430.461	4402	4383.6
430.87	4580.8	4616
431.279	4782.8	4809.2
431.666	5003.8	5036
432.075	5260.8	5279
432.484	5518	5551.6
432.893	5726.6	5783.4
433.302	6050.8	6072
433.711	6325.8	6384.8
434.099	6575.8	6660.4
434.508	6894.2	6985.4
434.918	7184.8	7297.4
435.327	7569.8	7681
435.737	7951	7989.8
436.125	8242	8341
436.534	8617.4	8750
436.944	8991.6	9132.8
437.353	9418.2	9510.2
437.763	9863	9974.8
438.173	10244	10355.4
438.561	10681.2	10853.6
438.971	11114.2	11278.8
439.381	11629.6	11779.2
439.791	12131.6	12243.6
440.201	12598.2	12793.6
440.589	13151.2	13377.4
440.999	13697	13904.6
441.409	14317.4	14536.8
441.819	14881.6	15079.8
442.23	15607	15744.4
442.619	16189	16469.2
443.029	16914.6	17216.8
443.439	17716.4	17888.6
443.85	18494.4	18710.8
444.26	19287.6	19496.4
444.649	20180.4	20375.6
445.06	21144.4	21316.8
445.471	22043	22283.6
445.881	23049.6	23249.4
446.292	24115.2	24321
446.682	25189.8	25367.6
447.092	26223.6	26466.6
447.503	27395.6	27676.2
447.914	28569.8	28797.8
448.325	29746.4	30038.4
448.715	31000.4	31271.2
449.126	32211.8	32488
449.537	33426.8	33598.6
449.948	34581.8	34858.4
450.338	35705.8	35893.6
450.75	36879.2	37073.2
451.161	37812.6	38135.8
451.572	38772	39108.2
451.984	39714.6	39970.8
452.374	40463.2	40653
452.786	41102.4	41332.8
453.197	41660	41901.4
453.609	42019.8	42318.2
453.999	42274.4	42587.4
454.411	42442.4	42672.2
454.823	42386	42646.8
455.235	42238.8	42503.8
455.647	41952.2	42322.4
456.037	41586.6	41775.2
456.449	40974.6	41284.8
456.862	40379.8	40725.8
457.274	39557.4	39914.2
457.665	38821.6	39072.2
458.077	37934.6	38193
458.489	37040.4	37323.8
458.902	35972.6	36315.4
459.293	35016	35276.2
459.705	33987.6	34360.2
460.118	32994.4	33292.6
460.53	32064.6	32377.4
460.921	31105.8	31379.6
461.334	30253.4	30457.8
461.747	29312	29650.4
462.16	28578.4	28855.4
462.551	27782.8	28119.2
462.964	27009.2	27385
463.377	26423.4	26787
463.79	25882.6	26157.2
464.182	25258.8	25630.6
464.595	24840.2	25171.8
465.008	24337.2	24641.6
465.421	23821.8	24160.8
465.813	23559.8	23812.4
466.226	23135.4	23423.8
466.64	22777.2	23088
467.053	22487	22704.4
467.445	22067.6	22371.4
467.859	21662	22088
468.272	21455.2	21673.6
468.686	21001.2	21402.2
469.078	20660.4	21060.4
469.492	20315.4	20634.2
469.906	20007.4	20282.2
470.298	19618.8	19930.6
470.712	19245.2	19524.2
471.126	18869	19201.2
471.54	18452	18758.2
471.933	18050	18280
472.347	17652.8	17979.8
472.761	17251.2	17589.4
473.175	16794.4	17143
473.568	16456.4	16774.6
473.982	16058.4	16307.8
474.397	15716.2	15990.2
474.79	15323.2	15636.8
475.204	14975.4	15291.8
475.619	14601.6	14920
476.033	14359.8	14620.8
476.426	14013.2	14289
476.841	13800.8	14019.6
477.256	13566.6	13830.2
477.649	13254.2	13597.6
478.064	13073.8	13415.8
478.479	12872.6	13193
478.872	12750.6	13034
479.287	12624.8	12891.4
479.702	12532.8	12832
480.118	12426	12715.6
480.511	12346.8	12644.8
480.927	12320.8	12625.4
481.342	12238	12507.6
481.736	12214.8	12526.8
482.151	12194.6	12577.8
482.566	12256	12444.6
482.96	12201.4	12468
483.376	12245.8	12506
483.792	12299.4	12552.2
484.186	12329.6	12605.8
484.602	12380.2	12642.4
485.017	12407.4	12723.4
485.412	12470	12695.6
485.827	12608	12814.8
486.243	12664.8	12873.4
486.638	12744.8	13016
487.054	12760.2	13060.4
487.47	12890	13087
487.865	12907.8	13150
488.281	13047.8	13317.8
488.697	13143.2	13387.4
489.092	13260.4	13498.2
489.508	13407.4	13601
489.925	13481	13773
490.32	13637.8	13869
490.736	13777.8	14045.4
491.153	13943.4	14159.4
491.548	14117.2	14330.4
491.964	14240.4	14535.2
492.381	14396	14646.4
492.776	14635.8	14828.2
493.193	14800	15039.4
493.61	14996.4	15202.2
494.006	15235.8	15491.2
494.422	15401.2	15656.2
494.84	15664.2	15898.2
495.235	15927.4	16139.4
495.652	16133.2	16333.6
496.069	16392.4	16576.8
496.465	16631.6	16779.2
496.883	16839.2	17070.8
497.3	17212	17347.2
497.696	17355	17641.8
498.113	17677.4	17859.6
498.509	17970.6	18108.2
498.927	18194.8	18387.4
499.344	18420.6	18668.6
499.741	18685.8	18915.4
500.158	19012.8	19212.4
500.576	19237.2	19460
500.973	19603.8	19690.2
501.39	19803	20018.4
501.787	20088.4	20184.2
502.205	20363.8	20557.4
502.623	20571.6	20844.2
503.02	20921.4	21053.4
503.438	21158.8	21351.4
503.856	21421.8	21647
504.253	21629.4	21867.2
504.671	21977.2	22098.6
505.068	22127.8	22419.2
505.486	22457	22613.8
505.905	22740.6	22930.8
506.302	22996.8	23174.2
506.72	23225.8	23376.8
507.118	23524	23604
507.536	23732	23889
507.955	24049.2	24110
508.352	24183.8	24311.4
508.771	24440.4	24600.2
509.169	24725.4	24861.6
509.587	24940.4	25066.8
510.006	25116.4	25348
510.404	25375.2	25487
510.823	25653.4	25803.2
511.221	25919.2	26012.4
511.64	26093.2	26173.8
512.038	26279	26471.2
512.457	26500.8	26590.4
512.877	26732.6	26773
513.275	26947.6	27063.8
513.694	27167	27200.4
514.092	27280.2	27435.8
514.512	27595.2	27695
514.91	27764.8	27855.2
515.33	27875.2	28059
515.749	28187	28286.8
516.148	28324.4	28480
516.568	28533.8	28651.4
516.966	28789.2	28865.4
517.386	28916.4	29012.4
517.785	29104	29257.6
518.205	29351.6	29411.4
518.603	29552.8	29553
519.024	29732.6	29781.4
519.444	29817.8	29967
519.843	30037	30183.2
520.263	30156.6	30226.8
520.662	30342.2	30401.2
521.082	30527.6	30601.4
521.481	30654.4	30805.8
521.902	30840.2	31007.6
522.301	30986.6	31152.8
522.722	31186.4	31254.4
523.121	31363	31377.6
523.542	31459.6	31586
523.963	31627.2	31657
524.362	31809.4	31899.2
524.783	31799	31967.2
525.183	32027.8	32048
525.604	32143.2	32228
526.003	32275.2	32320
526.425	32381.8	32462.4
526.824	32473.6	32647.8
527.246	32634.6	32777.6
527.646	32821.6	32823.8
528.067	32888.2	32956.4
528.467	32972.8	33028.2
528.888	33093.8	33141.8
529.289	33317.8	33344.2
529.71	33443.4	33421
530.11	33505	33604
530.532	33682.4	33660
530.932	33762	33771.2
531.354	33940.6	33906.6
531.755	34069	34143.2
532.176	34143.8	34208
532.577	34270.2	34349.2
532.999	34392.4	34564.8
533.4	34591.4	34628.8
533.822	34758.6	34904.2
534.223	34901	34990
534.645	35042	35137.4
535.046	35085.4	35270.4
535.468	35386.6	35354
535.869	35511.2	35489.4
536.292	35620.4	35703.8
536.693	35919	35870
537.115	35954	35946.4
537.516	36094.8	36129.8
537.939	36311.6	36286
538.34	36392.2	36419.4
538.742	36575.6	36506.6
539.165	36638	36754.4
539.566	36880.6	36898
539.989	37014.6	37047.8
540.391	37237.8	37135.4
540.814	37318.2	37313
541.216	37522.6	37532.2
541.639	37538	37594
542.041	37773	37714.8
542.464	37910.6	37976.6
542.866	37953.2	38101.2
543.268	38173.8	38106.2
543.691	38274.6	38295.4
544.093	38389.2	38494.4
544.517	38469.6	38642.6
544.919	38614.6	38711.6
545.343	38850.8	38876.6
545.745	38938.4	38989.8
546.147	39086.2	39074
546.571	39121.2	39273.2
546.974	39275	39359.6
547.398	39486	39530.2
547.8	39603.2	39629.2
548.224	39748.8	39760.4
548.627	39893	39839.4
549.03	39997.8	40040
549.454	40193.2	40198.6
549.857	40241.8	40312.2
550.281	40327.4	40355
550.684	40514	40578.6
551.087	40555.8	40600.8
551.512	40705.2	40832.4
551.915	40926.2	40925.6
