#lambda/nm	DC	C1
520.662	563.6	681.6
521.082	556.8	675
521.481	563	671.8
521.902	560	674.8
522.301	558.2	675
522.722	559.6	687
523.121	558.4	670.8
523.542	557.2	671.4
523.963	554.2	667.4
524.362	556.6	672.4
524.783	557.2	659
525.183	552.4	672.4
525.604	563	669
526.003	549.2	654
526.425	544	666
526.824	563	661.2
527.246	563.2	673
527.646	564.8	665
528.067	553	660.4
528.467	554.6	655.8
528.888	561	658
529.289	553.6	650
529.71	553	657.4
530.11	550	646.4
530.532	548.8	642.4
530.932	551.2	641.6
531.354	549.4	639.2
531.755	591.6	684.2
532.176	566	654.6
532.577	556.4	650.2
532.999	551.8	656
533.4	556.4	641.6
533.822	568.4	642.6
534.223	568	655.4
534.645	551.6	639
535.046	553.8	629.8
535.468	561.4	644.8
535.869	566.6	647.8
536.292	549.4	631.8
536.693	583.6	666
537.115	559.6	636.4
537.516	555	643.4
537.939	554.6	625
538.34	572	640
538.742	570.8	637.4
539.165	562	635.2
539.566	561	615.8
539.989	558.8	615.8
540.391	558.2	617.2
540.814	562.2	614.2
541.216	568.4	622.6
541.639	557.6	614.8
542.041	569.6	624.8
542.464	552.4	619
542.866	557.4	601.4
543.268	546.6	619.6
543.691	560.8	620.8
544.093	553.8	627.4
544.517	578.2	634.8
544.919	553.6	606
545.343	579.2	640.8
545.745	552.8	620
546.147	570	611.4
546.571	545.6	614.8
546.974	547	611.2
547.398	553.6	610.4
547.8	569.4	627.6
548.224	546.8	600.8
548.627	550	600.4
549.03	559.8	621
549.454	550	603.2
549.857	547	608
550.281	550.8	605.4
550.684	549.4	602.4
551.087	558.4	627.2
551.512	561	616.6
551.915	559	616
552.34	549.4	601
552.743	553.6	610
553.146	557.4	607.4
553.571	565.2	616.4
553.975	566.6	623.2
554.399	558.4	599
554.803	602	651
555.207	556.8	598.6
555.632	561.4	599.2
556.036	561.2	597.8
556.461	552.8	596.2
556.865	556.6	600.4
557.268	554.4	592
557.694	553	594.4
558.098	561.2	611
558.502	562	614.8
558.927	549.6	602.6
559.332	563.2	590.6
559.736	555.2	596.2
560.162	557.6	600.6
560.566	547.8	594.4
560.992	557.2	605.4
561.396	556.4	598.4
561.801	550.2	591.6
562.227	555.2	587.8
562.631	552.4	586.2
563.036	551	595
563.462	556.2	604.8
563.867	555.6	594.8
564.272	541.6	577.2
564.698	554.4	591
565.103	543.6	576.6
565.508	571.2	606.8
565.935	563	597.2
566.34	551.2	590.2
566.745	562.4	603.8
567.172	547.8	590.8
567.577	569	612
567.982	561.2	595
568.409	554.8	594.6
568.815	541.8	587.4
569.22	547.6	588.6
569.626	556.8	592.2
570.053	537	578.2
570.459	557.4	597.2
570.865	558.6	592.6
571.292	556.4	587.4
571.698	548.6	581.6
572.104	543.8	576.4
572.531	550.8	582
572.937	562.2	581.6
573.343	557.2	580
573.75	548.2	577.4
574.177	544.8	575.8
574.583	558.8	585.4
574.99	551	578.4
575.396	563.4	589.4
575.824	550	580.4
576.231	558.4	582.2
576.637	558.2	576.2
577.065	570	595.2
577.472	552.2	571.6
577.879	546.4	580
578.286	558.4	587.8
578.714	546.4	569.4
579.121	550.4	571
579.528	561	577.4
579.935	563.6	588.2
580.364	546	572.6
580.771	540	564
581.178	541.2	573.4
581.585	557	577
582.014	562.4	584.4
582.421	556	567.6
582.829	550.6	570
583.236	559.2	574.6
583.644	550.2	571.4
584.073	540.2	575
584.481	547.8	568.4
584.889	555.6	569.6
585.296	559.4	581
585.726	556.2	565.2
586.134	545.6	563.8
586.542	552	566
586.95	566.8	584.6
587.358	549.8	557.6
587.787	551.2	574.4
588.196	544.8	560.2
588.604	558.4	563
589.012	560.8	565.4
589.421	549.6	554.4
589.851	550.2	561.4
590.259	559.8	570.8
590.668	548.2	561
591.076	584.2	598.2
591.485	548.2	561.4
591.894	552.6	570.2
592.324	562	581
592.733	561.4	580.8
593.142	545.4	556.4
593.551	552.6	563.4
593.96	586.6	596.8
594.369	546.6	552
594.8	546.4	552.2
595.209	558.4	556.6
595.618	535	546.6
596.028	548.6	552.8
596.437	548.2	558.2
596.847	555.2	564
597.256	562.2	564.4
597.687	563	564.8
598.097	549.8	565.4
598.507	546.4	553
598.917	562.4	556.8
599.327	564.8	562.6
599.736	557.4	565.2
600.146	563	572.2
600.556	553.6	560.6
600.988	576.8	570.8
601.398	551.2	555
601.808	557.4	576.2
602.219	549.2	550.8
602.629	549.8	560.4
603.039	556.8	557
603.45	584.2	586
603.86	554.8	559.2
604.271	567.2	571
604.703	561.4	556.6
605.114	560.8	563
605.525	562	564.2
605.935	553.8	563.6
606.346	577	577.6
606.757	556.8	572.6
607.168	558	552
607.579	551.6	552
607.99	566	579.6
608.402	559.8	567
608.813	568.4	568.4
609.224	551.4	558.2
609.636	549.4	559.2
610.047	556	559
610.48	553.4	564.4
610.892	561	570.6
611.303	570	567.6
611.715	548.6	561.2
612.127	546.8	552
612.539	553.8	559
612.95	555.2	575.2
613.362	547.8	557.8
613.774	548.6	552.2
614.186	555.6	554.4
614.599	560.6	553.2
615.011	564.6	569
615.423	559.4	560
615.835	552.6	560
616.248	544	550
616.66	553	569.4
617.073	547.2	562.8
617.485	548.4	565.4
617.898	557.8	565.6
618.311	552.8	559.6
618.723	555.8	565.6
619.136	583.6	587.4
619.549	576	571.2
619.962	577.4	581.6
620.375	550.2	562.8
620.788	564.2	561.6
621.201	551.8	559.2
621.614	563.4	567.8
622.028	555.6	561
622.441	561.6	565.4
622.854	568.4	579
623.268	544.4	562
623.681	554	562.6
624.095	554.6	559.4
624.509	566.8	571.2
624.922	565.6	568.2
625.336	545	556
625.728	555	550
626.142	568.6	570.8
626.556	572.4	576
626.97	563.2	566.2
627.384	551.6	558.2
627.799	557.8	563.6
628.213	566.8	571.8
628.627	556	560.2
629.041	553.4	550.2
629.456	556.4	558.2
629.87	558.8	553
630.285	558.2	574.4
630.699	568.2	569.8
631.093	557.2	557.2
631.507	562	566
631.922	564.4	560.8
632.337	570.4	571.6
632.752	556.4	544.4
633.167	554.6	559.8
633.582	552.2	558.6
633.997	553	546.6
634.412	558.4	546.4
634.806	553.2	556
635.221	549.8	548.4
635.637	557.4	561.6
636.052	547	542
636.468	562	554.2
636.883	565	569.8
637.299	549.8	545.6
637.715	553.4	538.2
638.109	553.2	545.4
638.525	554.8	535
638.941	569.6	566.2
639.357	557.4	549.6
639.773	562.8	557.8
640.189	551.8	540
640.584	561.4	548.4
641	560.4	552.4
641.416	550.2	543.4
641.832	552.4	546
642.249	553.6	554
642.665	560	550.8
643.06	556.2	550.8
643.477	566.6	556.4
643.894	540.4	539.8
